Time,X,Y,Z,qW,qX,qY,qZ
1510937280.168387,0.031,-0.324,0.252,0.032,0.011,-0.010,-0.999,
1510937280.177,0.030,-0.331,0.252,0.034,0.011,-0.008,-0.999,
1510937280.186,0.032,-0.339,0.252,0.028,0.010,-0.010,-1.000,
1510937280.194,0.032,-0.347,0.253,0.027,0.005,-0.010,-1.000,
1510937280.202,0.031,-0.353,0.253,0.027,0.007,-0.008,-1.000,
1510937280.211,0.032,-0.361,0.253,0.022,0.005,-0.008,-1.000,
1510937280.219,0.032,-0.367,0.253,0.024,0.006,-0.010,-1.000,
1510937280.227,0.035,-0.376,0.253,0.021,0.000,-0.016,-1.000,
1510937280.236,0.032,-0.382,0.253,0.021,0.003,-0.009,-1.000,
1510937280.244,0.034,-0.387,0.253,0.024,0.007,-0.013,-1.000,
1510937280.252,0.033,-0.395,0.253,0.019,0.005,-0.011,-1.000,
1510937280.261,0.034,-0.402,0.253,0.022,0.004,-0.014,-1.000,
1510937280.268,0.033,-0.409,0.253,0.021,0.004,-0.010,-1.000,
1510937280.277,0.032,-0.413,0.252,0.025,0.011,-0.009,-1.000,
1510937280.285,0.034,-0.421,0.252,0.023,0.009,-0.014,-1.000,
1510937280.294,0.035,-0.430,0.253,0.021,0.003,-0.015,-1.000,
1510937280.303,0.034,-0.435,0.253,0.023,0.008,-0.013,-1.000,
1510937280.311,0.034,-0.439,0.252,0.026,0.013,-0.015,-0.999,
1510937280.319,0.036,-0.447,0.252,0.024,0.012,-0.021,-0.999,
1510937280.327,0.036,-0.454,0.252,0.022,0.011,-0.019,-1.000,
1510937280.335,0.034,-0.460,0.253,0.024,0.013,-0.013,-1.000,
1510937280.344,0.035,-0.468,0.253,0.022,0.008,-0.018,-1.000,
1510937280.352,0.034,-0.475,0.253,0.024,0.009,-0.015,-1.000,
1510937280.360,0.036,-0.483,0.253,0.022,0.006,-0.019,-1.000,
1510937280.369,0.034,-0.491,0.254,0.020,0.003,-0.013,-1.000,
1510937280.376,0.035,-0.497,0.253,0.020,0.005,-0.016,-1.000,
1510937280.385,0.037,-0.502,0.253,0.020,0.009,-0.022,-1.000,
1510937280.393,0.037,-0.511,0.253,0.019,0.006,-0.021,-1.000,
1510937280.402,0.036,-0.518,0.253,0.018,0.003,-0.017,-1.000,
1510937280.410,0.036,-0.526,0.253,0.018,0.002,-0.018,-1.000,
1510937280.419,0.036,-0.532,0.253,0.016,0.002,-0.019,-1.000,
1510937280.428,0.037,-0.538,0.253,0.017,0.004,-0.020,-1.000,
1510937280.436,0.036,-0.545,0.253,0.018,0.003,-0.018,-1.000,
1510937280.445,0.038,-0.550,0.253,0.020,0.010,-0.025,-0.999,
1510937280.452,0.038,-0.557,0.253,0.019,0.007,-0.024,-1.000,
1510937280.460,0.035,-0.562,0.253,0.020,0.012,-0.018,-1.000,
1510937280.468,0.036,-0.572,0.253,0.017,0.003,-0.019,-1.000,
1510937280.477,0.035,-0.577,0.253,0.021,0.009,-0.017,-1.000,
1510937280.486,0.035,-0.582,0.252,0.024,0.012,-0.020,-0.999,
1510937280.493,0.037,-0.591,0.253,0.017,0.006,-0.022,-1.000,
1510937280.502,0.034,-0.595,0.253,0.021,0.013,-0.017,-1.000,
1510937280.510,0.037,-0.603,0.253,0.021,0.009,-0.025,-0.999,
1510937280.519,0.033,-0.607,0.253,0.023,0.018,-0.013,-0.999,
1510937280.527,0.036,-0.614,0.253,0.025,0.017,-0.022,-0.999,
1510937280.536,0.032,-0.625,0.254,0.017,0.004,-0.008,-1.000,
1510937280.544,0.036,-0.629,0.253,0.027,0.012,-0.023,-0.999,
1510937280.551,0.040,-0.636,0.253,0.025,0.010,-0.032,-0.999,
1510937280.561,0.033,-0.642,0.254,0.025,0.013,-0.013,-1.000,
1510937280.569,0.040,-0.651,0.253,0.026,0.007,-0.031,-0.999,
1510937280.577,0.039,-0.656,0.253,0.025,0.010,-0.029,-0.999,
1510937280.586,0.035,-0.662,0.254,0.024,0.013,-0.017,-0.999,
1510937280.594,0.032,-0.668,0.253,0.023,0.013,-0.014,-1.000,
1510937280.602,0.034,-0.675,0.254,0.029,0.015,-0.016,-0.999,
1510937280.610,0.034,-0.681,0.253,0.027,0.014,-0.018,-0.999,
1510937280.618,0.032,-0.690,0.254,0.024,0.009,-0.012,-1.000,
1510937280.627,0.033,-0.693,0.254,0.027,0.018,-0.014,-0.999,
1510937280.636,0.034,-0.702,0.254,0.027,0.012,-0.016,-0.999,
1510937280.644,0.034,-0.708,0.254,0.031,0.013,-0.015,-0.999,
1510937280.652,0.033,-0.714,0.255,0.029,0.016,-0.011,-0.999,
1510937280.660,0.037,-0.723,0.254,0.028,0.009,-0.025,-0.999,
1510937280.669,0.029,-0.730,0.255,0.027,0.010,-0.002,-1.000,
1510937280.678,0.035,-0.739,0.256,0.024,0.005,-0.014,-1.000,
1510937280.686,0.033,-0.741,0.254,0.035,0.014,-0.015,-0.999,
1510937280.694,0.038,-0.751,0.255,0.028,0.007,-0.024,-0.999,
1510937280.702,0.034,-0.753,0.254,0.036,0.019,-0.015,-0.999,
1510937280.710,0.033,-0.764,0.256,0.034,0.010,-0.011,-0.999,
1510937280.719,0.036,-0.768,0.254,0.035,0.015,-0.022,-0.999,
1510937280.727,0.036,-0.776,0.255,0.033,0.012,-0.018,-0.999,
1510937280.736,0.035,-0.788,0.256,0.027,-0.001,-0.014,-1.000,
1510937280.743,0.036,-0.789,0.255,0.034,0.012,-0.018,-0.999,
1510937280.752,0.035,-0.796,0.254,0.031,0.010,-0.018,-0.999,
1510937280.760,0.037,-0.805,0.256,0.032,0.007,-0.017,-0.999,
1510937280.768,0.039,-0.811,0.255,0.029,0.007,-0.027,-0.999,
1510937280.777,0.037,-0.816,0.255,0.033,0.013,-0.020,-0.999,
1510937280.786,0.037,-0.826,0.256,0.030,0.006,-0.017,-0.999,
1510937280.795,0.036,-0.831,0.256,0.027,0.008,-0.016,-0.999,
1510937280.803,0.037,-0.841,0.257,0.025,0.001,-0.016,-1.000,
1510937280.811,0.037,-0.845,0.256,0.027,0.007,-0.018,-0.999,
1510937280.819,0.034,-0.849,0.255,0.028,0.015,-0.011,-0.999,
1510937280.827,0.036,-0.856,0.254,0.033,0.014,-0.019,-0.999,
1510937280.836,0.038,-0.861,0.254,0.038,0.019,-0.022,-0.999,
1510937280.844,0.040,-0.871,0.256,0.034,0.011,-0.024,-0.999,
1510937280.852,0.036,-0.876,0.255,0.032,0.013,-0.014,-0.999,
1510937280.860,0.034,-0.884,0.255,0.030,0.008,-0.012,-0.999,
1510937280.868,0.034,-0.891,0.255,0.030,0.010,-0.011,-0.999,
1510937280.877,0.037,-0.895,0.255,0.036,0.017,-0.016,-0.999,
1510937280.886,0.037,-0.907,0.255,0.027,0.003,-0.018,-0.999,
1510937280.894,0.033,-0.912,0.256,0.028,0.007,-0.005,-1.000,
1510937280.902,0.038,-0.915,0.255,0.035,0.018,-0.020,-0.999,
1510937280.911,0.037,-0.922,0.255,0.034,0.018,-0.018,-0.999,
1510937280.919,0.035,-0.930,0.255,0.030,0.012,-0.012,-0.999,
1510937280.928,0.038,-0.935,0.255,0.035,0.018,-0.019,-0.999,
