Time,Time_ubisense,txeui,seq,X,Y,Z
1510937280.241356,1510937281.0351643562,1,209195,0.208,-0.302,0.500,
1510937280.241,1510937281.0621659756,1,209196,0.206,-0.325,0.500,
1510937280.252,1510937281.0861670971,1,209197,0.203,-0.338,0.500,
1510937280.263,1510937281.1121687889,1,209198,0.196,-0.358,0.500,
1510937280.282,1510937281.1361701488,1,209199,0.206,-0.371,0.500,
1510937280.322,1510937281.1611714363,1,209200,0.215,-0.384,0.500,
1510937280.342,1510937281.1861729622,1,209201,0.221,-0.408,0.500,
1510937280.362,1510937281.2101743221,1,209202,0.218,-0.422,0.500,
1510937280.392,1510937281.2351758480,1,209203,0.223,-0.447,0.500,
1510937280.422,1510937281.2591772079,1,209204,0.224,-0.468,0.500,
1510937280.432,1510937281.2801783085,1,209205,0.226,-0.498,0.500,
1510937280.442,1510937281.2851786613,1,209206,0.229,-0.518,0.500,
1510937280.472,1510937281.3161802292,1,209207,0.232,-0.536,0.500,
1510937280.492,1510937281.3421819210,1,209208,0.225,-0.561,0.500,
1510937280.524,1510937281.3651831150,1,209209,0.228,-0.587,0.500,
1510937280.544,1510937281.3911848068,1,209210,0.228,-0.608,0.500,
1510937280.564,1510937281.4151859283,1,209211,0.207,-0.649,0.500,
1510937280.594,1510937281.4411876202,1,209212,0.218,-0.671,0.500,
1510937280.614,1510937281.4671890736,1,209213,0.227,-0.689,0.500,
1510937280.644,1510937281.4911904335,1,209214,0.236,-0.707,0.500,
1510937280.664,1510937281.5151920319,1,209215,0.223,-0.709,0.500,
1510937280.694,1510937281.5401930809,1,209216,0.222,-0.727,0.500,
1510937280.714,1510937281.5671947002,1,209217,0.232,-0.747,0.500,
1510937280.744,1510937281.5901958942,1,209218,0.205,-0.788,0.500,
1510937280.764,1510937281.6171975136,1,209219,0.216,-0.808,0.500,
1510937280.795,1510937281.6401989460,1,209220,0.208,-0.817,0.500,
1510937280.814,1510937281.6662003994,1,209221,0.212,-0.833,0.500,
1510937280.844,1510937281.6902019978,1,209222,0.220,-0.855,0.500,
1510937280.864,1510937281.7162032127,1,209223,0.221,-0.873,0.500,
1510937280.894,1510937281.7402048111,1,209224,0.203,-0.910,0.500,
1510937280.914,1510937281.7662060261,1,209225,0.197,-0.917,0.500,
1510937280.944,1510937281.7912075520,1,209226,0.195,-0.926,0.500,
1510937280.964,1510937281.8162090778,1,209227,0.203,-0.942,0.500,
1510937280.994,1510937281.8412103653,1,209228,0.212,-0.962,0.500,
1510937281.004,1510937281.8582115173,1,209229,0.212,-0.975,0.500,
1510937281.054,1510937281.8912134171,1,209230,0.279,-0.884,0.470,
1510937281.074,1510937281.9162147045,1,209231,0.245,-0.957,0.487,
1510937281.094,1510937281.9412162304,1,209232,0.258,-0.990,0.500,
1510937281.114,1510937281.9652175903,1,209233,0.274,-1.024,0.500,
1510937281.144,1510937281.9912190437,1,209234,0.277,-1.045,0.500,
1510937281.164,1510937282.0162203312,1,209235,0.249,-1.090,0.500,
1510937281.194,1510937282.0412218571,1,209236,0.252,-1.104,0.500,
1510937281.214,1510937282.0672233105,1,209237,0.257,-1.118,0.500,
1510937281.245,1510937282.0912246704,1,209238,0.264,-1.143,0.500,
1510937281.265,1510937282.1172263622,1,209239,0.261,-1.162,0.500,
1510937281.296,1510937282.1412274837,1,209240,0.261,-1.184,0.500,
1510937281.325,1510937282.1652288437,1,209241,0.254,-1.202,0.500,
1510937281.335,1510937282.1872303486,1,209242,0.255,-1.228,0.500,
1510937281.366,1510937282.2162318230,1,209243,0.255,-1.248,0.500,
1510937281.395,1510937282.2412333488,1,209244,0.234,-1.282,0.500,
1510937281.425,1510937282.2722351551,1,209245,0.264,-1.174,0.393,
1510937281.445,1510937282.2912361622,1,209246,0.226,-1.241,0.419,
1510937281.485,1510937282.3222379684,1,209247,0.204,-1.287,0.470,
1510937281.495,1510937282.3412392139,1,209248,0.199,-1.315,0.500,
1510937281.515,1510937282.3662402630,1,209249,0.212,-1.321,0.500,
1510937281.546,1510937282.3912420273,1,209250,0.223,-1.324,0.500,
1510937281.565,1510937282.4162433147,1,209251,0.225,-1.331,0.500,
1510937281.605,1510937282.4412448406,1,209252,0.212,-1.361,0.500,
1510937281.616,1510937282.4662463665,1,209253,0.226,-1.356,0.500,
1510937281.646,1510937282.4902474880,1,209254,0.217,-1.385,0.500,
1510937281.665,1510937282.5152490139,1,209255,0.214,-1.379,0.500,
1510937281.695,1510937282.5402503014,1,209256,0.215,-1.380,0.500,
1510937281.715,1510937282.5662519932,1,209257,0.229,-1.388,0.500,
1510937281.745,1510937282.5892531872,1,209258,0.233,-1.405,0.500,
