Time,Time_ubisense,txeui,seq,X,Y,Z
1510928780.683088,1510928781.3611166477,1,183371,0.150,-0.007,0.500,
1510928780.683,1510928781.3861181736,1,183372,0.159,-0.012,0.500,
1510928780.697,1510928781.4091196060,1,183373,0.161,-0.033,0.500,
1510928780.737,1510928781.4361209869,1,183374,0.165,-0.051,0.500,
1510928780.747,1510928781.4621224403,1,183375,0.152,-0.081,0.500,
1510928780.778,1510928781.4871239662,1,183376,0.158,-0.095,0.500,
1510928780.798,1510928781.5121252537,1,183377,0.168,-0.103,0.500,
1510928780.837,1510928781.5361266136,1,183378,0.183,-0.109,0.500,
1510928780.857,1510928781.5611281395,1,183379,0.189,-0.128,0.500,
1510928780.877,1510928781.5861294270,1,183380,0.182,-0.137,0.500,
1510928780.897,1510928781.6121311188,1,183381,0.185,-0.154,0.500,
1510928780.927,1510928781.6361322403,1,183382,0.182,-0.168,0.500,
1510928780.947,1510928781.6621339321,1,183383,0.184,-0.194,0.500,
1510928780.987,1510928781.6871352196,1,183384,0.189,-0.213,0.500,
1510928781.000,1510928781.7061362267,1,183385,0.189,-0.229,0.500,
1510928781.008,1510928781.7121367455,1,183386,0.187,-0.244,0.500,
1510928781.027,1510928781.7411382198,1,183387,0.184,-0.258,0.500,
1510928781.057,1510928781.7671399117,1,183388,0.180,-0.282,0.500,
1510928781.078,1510928781.7921414375,1,183389,0.178,-0.305,0.500,
1510928781.118,1510928781.8171427250,1,183390,0.175,-0.324,0.500,
1510928781.128,1510928781.8421440125,1,183391,0.167,-0.340,0.500,
1510928781.167,1510928781.8661456108,1,183392,0.163,-0.351,0.500,
1510928781.177,1510928781.8911468983,1,183393,0.168,-0.370,0.500,
1510928781.216,1510928781.9161484241,1,183394,0.171,-0.393,0.500,
1510928781.218,1510928781.9321494102,1,183395,0.163,-0.416,0.500,
1510928781.268,1510928781.9671514034,1,183396,0.171,-0.438,0.500,
1510928781.277,1510928781.9921526909,1,183397,0.170,-0.455,0.500,
1510928781.307,1510928782.0151538849,1,183398,0.156,-0.462,0.500,
1510928781.328,1510928782.0421555042,1,183399,0.170,-0.495,0.500,
1510928781.357,1510928782.0661568642,1,183400,0.172,-0.520,0.500,
1510928781.378,1510928782.0911583900,1,183401,0.180,-0.543,0.500,
1510928781.418,1510928782.1171598434,1,183402,0.174,-0.559,0.500,
1510928781.438,1510928782.1411612034,1,183403,0.178,-0.580,0.500,
1510928781.459,1510928782.1671626568,1,183404,0.188,-0.605,0.500,
1510928781.468,1510928782.1821634769,1,183405,0.195,-0.623,0.500,
1510928781.518,1510928782.2171654701,1,183406,0.204,-0.648,0.500,
1510928781.529,1510928782.2411670685,1,183407,0.197,-0.666,0.500,
1510928781.569,1510928782.2671682835,1,183408,0.195,-0.684,0.500,
1510928781.579,1510928782.2911698818,1,183409,0.199,-0.705,0.500,
1510928781.609,1510928782.3161711693,1,183410,0.199,-0.725,0.500,
1510928781.628,1510928782.3411726952,1,183411,0.172,-0.764,0.500,
1510928781.669,1510928782.3661742210,1,183412,0.166,-0.790,0.500,
1510928781.678,1510928782.3921754360,1,183413,0.177,-0.806,0.500,
1510928781.709,1510928782.4161770344,1,183414,0.185,-0.824,0.500,
1510928781.729,1510928782.4421784878,1,183415,0.192,-0.841,0.500,
1510928781.759,1510928782.4671800137,1,183416,0.200,-0.852,0.500,
1510928781.779,1510928782.4911813736,1,183417,0.187,-0.879,0.500,
